step 0: train loss 10.6895, val loss 10.6778 
iter 193: loss 3.1529, time 14019.42ms, mfu 9.25%  
iter 194: loss 3.2842, time 10575.91ms, mfu 9.29%  
iter 195: loss 3.0305, time 6734.06ms, mfu 9.88%  
iter 196: loss 3.2012, time 8736.23ms, mfu 10.06%  
iter 197: loss 3.1412, time 7293.68ms, mfu 10.45%  
iter 198: loss 3.1011, time 8746.22ms, mfu 10.58%  
iter 199: loss 3.1924, time 8737.32ms, mfu 10.69%  
step 200: train loss 3.1055, val loss 3.0894 
iter 200: loss 2.8683, time 434707.53ms, mfu 9.64%  
iter 201: loss 2.7813, time 15842.60ms, mfu 9.32%  
iter 202: loss 3.0676, time 9703.95ms, mfu 9.44%  
iter 203: loss 2.9299, time 8473.24ms, mfu 9.70%  
iter 204: loss 2.8879, time 7524.89ms, mfu 10.09%  
iter 205: loss 2.9127, time 6992.15ms, mfu 10.54%  
iter 206: loss 3.1674, time 8032.42ms, mfu 10.76%  
iter 207: loss 3.0064, time 9218.09ms, mfu 10.79%  
iter 208: loss 2.9651, time 14505.39ms, mfu 10.41%  
iter 209: loss 3.1152, time 10901.15ms, mfu 10.31%  
iter 210: loss 2.8879, time 6947.23ms, mfu 10.75%  
iter 211: loss 2.9027, time 8289.99ms, mfu 10.90%  
iter 212: loss 2.8682, time 7379.76ms, mfu 11.20%  
iter 213: loss 2.9483, time 8129.34ms, mfu 11.33%  
iter 214: loss 3.1598, time 11031.23ms, mfu 11.12%  
iter 215: loss 3.0137, time 9294.72ms, mfu 11.11%  
iter 216: loss 2.6809, time 10988.92ms, mfu 10.93%  
iter 217: loss 2.9176, time 12216.29ms, mfu 10.67%  
iter 218: loss 2.7969, time 10076.57ms, mfu 10.62%  
iter 219: loss 2.5514, time 10931.68ms, mfu 10.49%  
iter 220: loss 2.7731, time 6408.58ms, mfu 11.03%  
iter 221: loss 2.6101, time 6082.68ms, mfu 11.61%  
iter 222: loss 2.6978, time 7492.67ms, mfu 11.81%  
iter 223: loss 2.6076, time 8899.79ms, mfu 11.78%  
iter 224: loss 2.8791, time 10162.76ms, mfu 11.60%  
iter 225: loss 2.8416, time 9533.63ms, mfu 11.51%  
iter 226: loss 2.6423, time 8759.34ms, mfu 11.53%  
iter 227: loss 2.4670, time 8413.12ms, mfu 11.59%  
iter 228: loss 2.7400, time 6602.40ms, mfu 11.98%  
iter 229: loss 2.9645, time 9063.20ms, mfu 11.90%  
iter 230: loss 2.8677, time 9272.30ms, mfu 11.81%  
iter 231: loss 2.8119, time 6285.27ms, mfu 12.26%  
iter 232: loss 2.5563, time 5838.19ms, mfu 12.78%  
iter 233: loss 2.9751, time 6267.67ms, mfu 13.13%  
iter 234: loss 3.1322, time 6614.02ms, mfu 13.36%  
iter 235: loss 2.6444, time 6035.45ms, mfu 13.72%  
iter 236: loss 2.7765, time 6465.16ms, mfu 13.92%  
iter 237: loss 3.0584, time 8652.05ms, mfu 13.71%  
iter 238: loss 2.7369, time 6968.35ms, mfu 13.81%  
iter 239: loss 2.9748, time 6338.87ms, mfu 14.04%  
iter 240: loss 2.7375, time 6922.96ms, mfu 14.11%  
iter 241: loss 3.2418, time 6504.43ms, mfu 14.27%  
iter 242: loss 2.3920, time 10499.93ms, mfu 13.81%  
iter 243: loss 2.4532, time 8008.76ms, mfu 13.70%  
iter 244: loss 2.7136, time 6963.33ms, mfu 13.80%  
iter 245: loss 2.5841, time 8905.82ms, mfu 13.57%  
iter 246: loss 2.9887, time 8264.17ms, mfu 13.45%  
iter 247: loss 3.0020, time 6628.15ms, mfu 13.64%  
iter 248: loss 2.7267, time 6907.04ms, mfu 13.75%  
iter 249: loss 2.7468, time 6362.63ms, mfu 13.98%  
iter 250: loss 2.9621, time 6744.21ms, mfu 14.10%  
iter 251: loss 3.1135, time 6528.41ms, mfu 14.25%  
iter 252: loss 2.8337, time 6840.78ms, mfu 14.32%  
iter 253: loss 2.4634, time 6429.55ms, mfu 14.48%  
iter 254: loss 2.2974, time 6107.97ms, mfu 14.70%  
iter 255: loss 3.0159, time 6563.37ms, mfu 14.78%  
iter 256: loss 2.8831, time 7586.10ms, mfu 14.65%  
iter 257: loss 2.8994, time 6469.63ms, mfu 14.76%  
iter 258: loss 2.6682, time 7414.95ms, mfu 14.67%  
iter 259: loss 2.7969, time 10278.07ms, mfu 14.19%  
iter 260: loss 2.6554, time 13130.26ms, mfu 13.55%  
iter 261: loss 2.6017, time 9414.41ms, mfu 13.28%  
iter 262: loss 2.5622, time 6655.60ms, mfu 13.49%  
iter 263: loss 2.9133, time 7547.02ms, mfu 13.49%  
iter 264: loss 2.5155, time 5847.01ms, mfu 13.89%  
iter 265: loss 2.4960, time 5779.85ms, mfu 14.26%  
iter 266: loss 2.4006, time 6660.11ms, mfu 14.37%  
iter 267: loss 2.5987, time 7187.18ms, mfu 14.35%  
iter 268: loss 2.7710, time 7236.90ms, mfu 14.33%  
iter 269: loss 2.4182, time 5939.45ms, mfu 14.61%  
iter 270: loss 2.8378, time 5751.64ms, mfu 14.93%  
iter 271: loss 2.3385, time 6217.20ms, mfu 15.08%  
iter 272: loss 2.3808, time 6914.77ms, mfu 15.05%  
iter 273: loss 2.1538, time 6244.45ms, mfu 15.18%  
iter 274: loss 2.7355, time 6422.03ms, mfu 15.25%  
iter 275: loss 2.1306, time 7356.40ms, mfu 15.11%  
iter 276: loss 2.5454, time 12538.58ms, mfu 14.41%  
iter 277: loss 2.5959, time 16569.77ms, mfu 13.59%  
iter 278: loss 2.2860, time 8007.34ms, mfu 13.50%  
iter 279: loss 2.3612, time 5875.86ms, mfu 13.89%  
iter 280: loss 2.7560, time 8497.74ms, mfu 13.70%  
iter 281: loss 2.3934, time 10456.06ms, mfu 13.31%  
iter 282: loss 2.6405, time 6999.08ms, mfu 13.44%  
iter 283: loss 2.4323, time 8655.46ms, mfu 13.27%  
iter 284: loss 2.1382, time 6974.67ms, mfu 13.41%  
iter 285: loss 2.2192, time 8370.60ms, mfu 13.29%  
iter 286: loss 2.3571, time 6896.42ms, mfu 13.44%  
iter 287: loss 2.1981, time 6228.47ms, mfu 13.73%  
iter 288: loss 2.2414, time 8868.96ms, mfu 13.51%  
iter 289: loss 2.1955, time 9803.85ms, mfu 13.20%  
iter 290: loss 2.5480, time 6248.99ms, mfu 13.52%  
iter 291: loss 2.1641, time 6752.49ms, mfu 13.68%  
iter 292: loss 2.1616, time 6667.77ms, mfu 13.84%  
iter 293: loss 2.1916, time 6037.83ms, mfu 14.15%  
iter 294: loss 2.5344, time 9352.75ms, mfu 13.82%  
iter 295: loss 2.6422, time 10907.71ms, mfu 13.38%  
iter 296: loss 2.3265, time 11021.79ms, mfu 12.97%  
iter 297: loss 2.4144, time 9725.96ms, mfu 12.72%  
iter 298: loss 2.9712, time 7686.63ms, mfu 12.77%  
iter 299: loss 2.6494, time 7247.29ms, mfu 12.91%  
iter 300: loss 2.0878, time 6907.15ms, mfu 13.09%  
iter 301: loss 2.5009, time 5776.26ms, mfu 13.55%  
iter 302: loss 2.4607, time 8712.98ms, mfu 13.37%  
iter 303: loss 2.7845, time 11668.85ms, mfu 12.91%  
iter 304: loss 2.7119, time 10703.76ms, mfu 12.57%  
iter 305: loss 2.6192, time 11775.63ms, mfu 12.18%  
iter 306: loss 2.3055, time 6241.65ms, mfu 12.60%  
iter 307: loss 2.1828, time 5640.08ms, mfu 13.15%  
iter 308: loss 2.1746, time 5463.08ms, mfu 13.70%  
iter 309: loss 2.1578, time 6746.91ms, mfu 13.84%  
iter 310: loss 2.2460, time 6554.77ms, mfu 14.02%  
iter 311: loss 2.5086, time 8699.14ms, mfu 13.79%  
iter 312: loss 2.5095, time 7762.07ms, mfu 13.73%  
iter 313: loss 3.0303, time 8626.50ms, mfu 13.54%  
iter 314: loss 2.1588, time 7699.46ms, mfu 13.51%  
iter 315: loss 2.2626, time 10619.89ms, mfu 13.12%  
iter 316: loss 2.3403, time 10053.56ms, mfu 12.82%  
iter 317: loss 2.1672, time 9689.01ms, mfu 12.59%  
iter 318: loss 2.3232, time 11054.21ms, mfu 12.26%  
iter 319: loss 2.5204, time 7504.56ms, mfu 12.39%  
iter 320: loss 2.4914, time 6971.11ms, mfu 12.62%  
iter 321: loss 2.2596, time 8198.57ms, mfu 12.60%  
iter 322: loss 2.5130, time 8338.83ms, mfu 12.57%  
iter 323: loss 2.4629, time 5805.89ms, mfu 13.07%  
iter 324: loss 2.1956, time 6518.76ms, mfu 13.33%  
iter 325: loss 2.3302, time 6148.24ms, mfu 13.65%  
iter 326: loss 2.5362, time 7613.39ms, mfu 13.63%  
iter 327: loss 2.5370, time 15945.65ms, mfu 12.91%  
iter 328: loss 2.1608, time 8927.36ms, mfu 12.76%  
iter 329: loss 2.2093, time 9619.43ms, mfu 12.54%  
iter 330: loss 2.1205, time 12293.62ms, mfu 12.12%  
iter 331: loss 1.9227, time 10499.31ms, mfu 11.88%  
iter 332: loss 2.5866, time 7104.63ms, mfu 12.13%  
iter 333: loss 2.1436, time 6870.19ms, mfu 12.40%  
iter 334: loss 2.0856, time 6828.13ms, mfu 12.66%  
iter 335: loss 2.1415, time 6443.79ms, mfu 12.98%  
iter 336: loss 2.5293, time 6405.15ms, mfu 13.27%  
iter 337: loss 1.9162, time 6588.08ms, mfu 13.49%  
iter 338: loss 2.2947, time 6794.89ms, mfu 13.65%  
iter 339: loss 2.3643, time 6462.22ms, mfu 13.86%  
iter 340: loss 2.0598, time 7855.83ms, mfu 13.78%  
iter 341: loss 2.7137, time 6852.01ms, mfu 13.89%  
iter 342: loss 2.0960, time 6519.17ms, mfu 14.07%  
iter 343: loss 2.1010, time 8414.37ms, mfu 13.87%  
iter 344: loss 2.6066, time 7448.67ms, mfu 13.86%  
iter 345: loss 2.6027, time 5660.79ms, mfu 14.27%  
iter 346: loss 2.1877, time 6718.07ms, mfu 14.37%  
iter 347: loss 3.0454, time 7114.60ms, mfu 14.36%  
iter 348: loss 2.2984, time 5983.13ms, mfu 14.63%  
iter 349: loss 2.3405, time 5997.35ms, mfu 14.87%  
iter 350: loss 1.9232, time 5495.13ms, mfu 15.24%  
iter 351: loss 2.0844, time 11061.54ms, mfu 14.64%  
iter 352: loss 2.7481, time 10707.14ms, mfu 14.13%  
iter 353: loss 2.1300, time 6556.79ms, mfu 14.27%  
iter 354: loss 2.1370, time 7066.21ms, mfu 14.29%  
iter 355: loss 1.9662, time 6632.13ms, mfu 14.40%  
iter 356: loss 2.2541, time 6430.05ms, mfu 14.55%  
iter 357: loss 2.2565, time 6691.20ms, mfu 14.62%  
iter 358: loss 2.0298, time 6325.65ms, mfu 14.77%  
iter 359: loss 2.4137, time 6198.55ms, mfu 14.94%  
iter 360: loss 2.8140, time 7377.00ms, mfu 14.83%  
iter 361: loss 2.1744, time 10352.09ms, mfu 14.33%  
iter 362: loss 2.1919, time 9552.41ms, mfu 13.97%  
iter 363: loss 2.3456, time 7337.65ms, mfu 13.96%  
iter 364: loss 1.9069, time 8469.99ms, mfu 13.77%  
iter 365: loss 1.9774, time 8377.85ms, mfu 13.61%  
iter 366: loss 2.2117, time 6514.09ms, mfu 13.82%  
iter 367: loss 1.9877, time 6424.04ms, mfu 14.03%  
iter 368: loss 2.2339, time 7257.43ms, mfu 14.03%  
iter 369: loss 1.8908, time 6375.71ms, mfu 14.23%  
iter 370: loss 1.9439, time 3743.25ms, mfu 15.53%  
iter 371: loss 2.0777, time 4522.53ms, mfu 16.24%  
iter 372: loss 2.0497, time 6722.19ms, mfu 16.13%  
iter 373: loss 1.9470, time 6882.04ms, mfu 16.00%  
iter 374: loss 2.0618, time 8962.70ms, mfu 15.54%  
iter 375: loss 2.3375, time 10692.57ms, mfu 14.94%  
iter 376: loss 2.3552, time 12127.60ms, mfu 14.29%  
iter 377: loss 2.1693, time 8280.44ms, mfu 14.09%  
iter 378: loss 2.0432, time 9447.86ms, mfu 13.76%  
iter 379: loss 2.1954, time 12275.64ms, mfu 13.22%  
iter 380: loss 2.5121, time 6488.10ms, mfu 13.47%  
iter 381: loss 2.0470, time 8228.11ms, mfu 13.36%  
iter 382: loss 1.8170, time 7516.07ms, mfu 13.39%  
iter 383: loss 2.3363, time 6472.82ms, mfu 13.62%  
iter 384: loss 1.9984, time 6576.55ms, mfu 13.81%  
iter 385: loss 2.0793, time 7855.57ms, mfu 13.73%  
iter 386: loss 2.1500, time 14815.63ms, mfu 13.05%  
iter 387: loss 2.2947, time 11228.60ms, mfu 12.65%  
iter 388: loss 2.3552, time 9895.17ms, mfu 12.42%  
iter 389: loss 3.0564, time 9085.59ms, mfu 12.30%  
iter 390: loss 3.4040, time 6058.37ms, mfu 12.76%  
iter 391: loss 2.8893, time 5952.72ms, mfu 13.20%  
iter 392: loss 2.3910, time 5956.56ms, mfu 13.59%  
iter 393: loss 2.4284, time 8228.97ms, mfu 13.47%  
iter 394: loss 2.4376, time 7322.31ms, mfu 13.52%  
iter 395: loss 2.5557, time 6573.44ms, mfu 13.72%  
iter 396: loss 2.7333, time 6714.20ms, mfu 13.87%  
iter 397: loss 2.2252, time 9808.98ms, mfu 13.52%  
iter 398: loss 2.2789, time 7835.79ms, mfu 13.47%  
iter 399: loss 2.1370, time 6058.87ms, mfu 13.81%  
step 400: train loss 2.3112, val loss 2.3429 
iter 400: loss 2.5106, time 427986.61ms, mfu 12.45%  
iter 401: loss 2.3540, time 16057.15ms, mfu 11.84%  
iter 402: loss 2.2459, time 11142.55ms, mfu 11.58%  
iter 403: loss 2.3833, time 9925.97ms, mfu 11.45%  
iter 404: loss 2.3239, time 15110.84ms, mfu 10.98%  
iter 405: loss 2.3544, time 7065.05ms, mfu 11.32%  
iter 406: loss 2.3723, time 6657.40ms, mfu 11.73%  
iter 407: loss 2.2512, time 9580.95ms, mfu 11.62%  
iter 408: loss 2.5310, time 9365.58ms, mfu 11.55%  
iter 409: loss 2.2347, time 7251.57ms, mfu 11.80%  
iter 410: loss 2.3863, time 7827.01ms, mfu 11.92%  
iter 411: loss 2.2115, time 8279.01ms, mfu 11.96%  
iter 412: loss 2.2530, time 7833.29ms, mfu 12.07%  
iter 413: loss 1.9647, time 8145.73ms, mfu 12.12%  
iter 414: loss 2.4047, time 11251.27ms, mfu 11.81%  
iter 415: loss 2.5021, time 10526.04ms, mfu 11.60%  
iter 416: loss 2.5037, time 9095.64ms, mfu 11.56%  
iter 417: loss 2.1381, time 8567.14ms, mfu 11.60%  
iter 418: loss 1.7565, time 8948.44ms, mfu 11.58%  
iter 419: loss 2.2290, time 8334.17ms, mfu 11.65%  
iter 420: loss 1.8570, time 6598.53ms, mfu 12.03%  
iter 421: loss 2.2485, time 5330.01ms, mfu 12.74%  
iter 422: loss 2.4690, time 4498.49ms, mfu 13.74%  
iter 423: loss 1.9832, time 8168.17ms, mfu 13.61%  
iter 424: loss 1.7913, time 8149.20ms, mfu 13.50%  
iter 425: loss 2.0954, time 8753.56ms, mfu 13.32%  
iter 426: loss 1.9424, time 6351.01ms, mfu 13.60%  
iter 427: loss 2.2306, time 6634.69ms, mfu 13.77%  
iter 428: loss 1.9666, time 8768.35ms, mfu 13.56%  
iter 429: loss 2.2147, time 7194.67ms, mfu 13.62%  
iter 430: loss 2.0057, time 7864.29ms, mfu 13.56%  
iter 431: loss 1.9923, time 7369.14ms, mfu 13.59%  
iter 432: loss 2.1204, time 7248.44ms, mfu 13.64%  
